 Which k-point you are on :            1
 ******************************* 
 ******************************* 
 start for in =               1
  Vcoulb n1   ig   ga  gb  gc      
     0.58630137       1     535      -6      -4       3
     0.63931705       1     536      -5      -4       3
     0.69443374       1     537      -4      -4       3
     0.74739053       1     538      -3      -4       3
     0.79149163       1     539      -2      -4       3
     0.81872531       1     540      -1      -4       3
     0.96487703       1     541       0      -3       3
     0.94538255       1     542       1      -3       3
     0.89330254       1     543       2      -3       3
     0.82284989       1     544       3      -3       3
     0.74739053       1     545       4      -3       3
     0.67527325       1     546       5      -3       3
     0.61024181       1     547      -6      -3       3
     0.67527325       1     548      -5      -3       3
     0.74739053       1     549      -4      -3       3
     0.82284989       1     550      -3      -3       3
     0.89330254       1     551      -2      -3       3
     0.94538255       1     552      -1      -3       3
     1.14644474       1     553       0      -2       3
     1.13536772       1     554       1      -2       3
     1.06588956       1     555       2      -2       3
     0.96487703       1     556       3      -2       3
     0.85825732       1     557       4      -2       3
     0.76016736       1     558       5      -2       3
     0.62609489       1     559      -6      -2       3
     0.70205116       1     560      -5      -2       3
     0.79149163       1     561      -4      -2       3
     0.89330254       1     562      -3      -2       3
     1.00023216       1     563      -2      -2       3
     1.09406771       1     564      -1      -2       3
     1.36454218       1     565       0      -1       3
     1.38389835       1     566       1      -1       3
     1.29451837       1     567       2      -1       3
     1.14644474       1     568       3      -1       3
     0.99285027       1     569       4      -1       3
     0.85825732       1     570       5      -1       3
     0.63166029       1     571      -6      -1       3
     0.71532362       1     572      -5      -1       3
     0.81872531       1     573      -4      -1       3
     0.94538255       1     574      -3      -1       3
     1.09406771       1     575      -2      -1       3
     1.24854439       1     576      -1      -1       3
     1.18172819       1     577       0       0       4
     1.24854439       1     578       1       0       4
     1.23427484       1     579       2       0       4
     1.14644474       1     580       3       0       4
     1.02340663       1     581       4       0       4
     0.89866777       1     582       5       0       4
     0.57322237       1     583      -6       0       4
     0.64127515       1     584      -5       0       4
     0.72365777       1     585      -4       0       4
     0.82284989       1     586      -3       0       4
     0.93914233       1     587      -2       0       4
     1.06588956       1     588      -1       0       4
     1.24854439       1     589       0       1       4
     1.36454218       1     590       1       1       4
     1.38389835       1     591       2       1       4
     1.29451837       1     592       3       1       4
     1.14644474       1     593       4       1       4
     0.99285027       1     594       5       1       4
     0.56363374       1     595      -6       1       4
     0.63166029       1     596      -5       1       4
     0.71532362       1     597      -4       1       4
     0.81872531       1     598      -3       1       4
     0.94538255       1     599      -2       1       4
     1.09406771       1     600      -1       1       4
     1.23427484       1     601       0       2       4
     1.38389835       1     602       1       2       4
     1.44731554       1     603       2       2       4
     1.38389835       1     604       3       2       4
     1.23427484       1     605       4       2       4
     1.06588956       1     606       5       2       4
     0.54703385       1     607      -6       2       4
     0.61194402       1     608      -5       2       4
     0.69194918       1     609      -4       2       4
     0.79149163       1     610      -3       2       4
     0.91536272       1     611      -2       2       4
     1.06588956       1     612      -1       2       4
     1.14644474       1     613       0       3       4
     1.29451837       1     614       1       3       4
     1.38389835       1     615       2       3       4
     1.36454218       1     616       3       3       4
